#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_004350.2	65217	66251	+	1029650	ruvB	SMU_64	NP_720545.1	344	-	Holliday junction DNA helicase RuvB
chr	NC_004350.2	66289	66714	+	1029651	-	SMU_65	NP_720546.1	141	-	protein tyrosine-phosphatase
chr	NC_004350.2	66779	67162	+	1029649	-	SMU_66	NP_720547.1	127	-	hypothetical protein SMU_66
chr	NC_004350.2	67159	68949	+	1029653	-	SMU_67	NP_720548.1	596	-	acyltransferase
chr	NC_004350.2	69215	69292	+	1029645	-	SMU_68	NP_720549.1	25	-	hypothetical protein SMU_68
chr	NC_004350.2	69631	71115	+	1029655	thrC	SMU_70	NP_720550.1	494	-	threonine synthase
chr	NC_004350.2	71523	72872	+	1029656	-	SMU_71	NP_720551.1	449	-	cation efflux pump (multidrug resistance protein)
chr	NC_004350.2	73219	73497	+	1029652	-	SMU_72	NP_720552.3	92	-	hypothetical protein SMU_72
chr	NC_004350.2	73517	74854	+	1029657	-	SMU_73	NP_720553.1	445	-	hypothetical protein SMU_73
chr	NC_004350.2	74927	75637	+	1029660	-	SMU_74	NP_720554.1	236	-	hypothetical protein SMU_74
chr	NC_004350.2	75621	76370	+	1029654	-	SMU_75	NP_720555.1	249	-	D-alanyl-D-alanine carboxypeptidase
chr	NC_004350.2	76374	76961	+	1029661	-	SMU_76	NP_720556.1	195	-	N-acetyl-muramidase
chr	NC_004350.2	77576	81847	+	1029658	fruA	SMU_78	NP_720557.1	1423	-	exo-beta-D-fructosidase
chr	NC_004350.2	81918	83477	+	1029659	fruB	SMU_79	NP_720558.1	519	-	exo-beta-D-fructosidase
chr	NC_004350.2	83652	84686	+	1029663	hrcA	SMU_80	NP_720559.1	344	-	heat-inducible transcription repressor
chr	NC_004350.2	84729	85268	+	1029662	grpE	SMU_81	NP_720560.1	179	-	heat shock protein GrpE
chr	NC_004350.2	85642	87480	+	1029666	dnaK	SMU_82	NP_720561.1	612	-	molecular chaperone DnaK
chr	NC_004350.2	88008	89141	+	1029665	dnaJ	SMU_83	NP_720562.1	377	-	molecular chaperone DnaJ
chr	NC_004350.2	89443	90192	+	1029668	truA	SMU_84	NP_720563.1	249	-	tRNA pseudouridine synthase A
chr	NC_004350.2	90182	90949	+	1029669	thiD	SMU_85	NP_720564.1	255	-	phosphomethylpyrimidine kinase
chr	NC_004350.2	90936	91400	+	1029667	-	SMU_86	NP_720565.1	154	-	hypothetical protein SMU_86
chr	NC_004350.2	91445	92008	+	1029664	-	SMU_87	NP_720566.1	187	-	hypothetical protein SMU_87
chr	NC_004350.2	92179	93036	-	1029672	-	SMU_88c	NP_720567.1	285	-	mechanosensitive ion channel protein MscS
chr	NC_004350.2	93254	94063	-	1029673	-	SMU_89c	NP_720568.1	269	-	nitrite transporter
chr	NC_004350.2	94301	95584	+	1029670	ropA	SMU_91	NP_720569.1	427	-	trigger factor
chr	NC_004350.2	95724	95861	-	1029674	-	SMU_92c	NP_720570.1	45	-	transposase fragment
chr	NC_004350.2	95980	96090	-	1029675	-	SMU_93c	NP_720571.1	36	-	transposase fragment
chr	NC_004350.2	96291	96461	-	1029677	-	SMU_94c	NP_720572.1	56	-	transposase fragment
chr	NC_004350.2	97182	97670	+	1029671	rpoE	SMU_96	NP_720573.3	162	-	DNA-directed RNA polymerase subunit delta
chr	NC_004350.2	97804	99414	+	1029678	pyrG	SMU_97	NP_720574.1	536	-	CTP synthetase
chr	NC_004350.2	100574	101455	+	1029679	fbaA	SMU_99	NP_720575.1	293	-	fructose-bisphosphate aldolase
chr	NC_004350.2	101780	102271	+	1029681	-	SMU_100	NP_720576.1	163	-	PTS system sorbose transporter subunit IIB
chr	NC_004350.2	102284	103081	+	1029680	-	SMU_101	NP_720577.1	265	-	PTS system sorbose transporter subunit IIC
chr	NC_004350.2	103071	103892	+	1029683	-	SMU_102	NP_720578.1	273	-	PTS system transporter subunit IID
chr	NC_004350.2	103889	104305	+	1029684	-	SMU_103	NP_720579.1	138	-	PTS system transporter subunit IIA
chr	NC_004350.2	104305	106500	+	1029676	-	SMU_104	NP_720580.1	731	-	alpha-glucosidase
chr	NC_004350.2	106501	107499	+	1029682	-	SMU_105	NP_720581.1	332	-	transcriptional regulator; repressor of sugar transport operon
chr	NC_004350.2	107734	107970	-	1029685	-	SMU_106c	NP_720582.1	78	-	transposase fragment
chr	NC_004350.2	109108	109278	+	1029686	-	SMU_107	NP_720583.1	56	-	hypothetical protein SMU_107
chr	NC_004350.2	109280	109417	+	1029689	-	SMU_108	NP_720584.1	45	-	hypothetical protein SMU_108
chr	NC_004350.2	109582	110682	+	1029688	-	SMU_109	NP_720585.1	366	-	permease
chr	NC_004350.2	110824	111684	-	1029690	mutR	SMU_110	NP_720586.1	286	-	transcriptional regulator MutR
chr	NC_004350.2	111945	112694	-	1029692	-	SMU_112c	NP_720587.1	249	-	transcriptional regulator
chr	NC_004350.2	112823	113755	+	1029687	-	SMU_113	NP_720588.1	310	-	fructose-1-phosphate kinase
chr	NC_004350.2	113760	115160	+	1029691	-	SMU_114	NP_720589.1	466	-	PTS system fructose-specific transporter subunit IIBC
chr	NC_004350.2	115175	115627	+	1029695	-	SMU_115	NP_720590.1	150	-	PTS system fructose-specific transporter subunit IIA
chr	NC_004350.2	115645	116634	+	1029694	lacD2	SMU_116	NP_720591.1	329	-	tagatose 1,6-diphosphate aldolase
chr	NC_004350.2	116735	118090	-	1029696	-	SMU_117c	NP_720592.1	451	-	hypothetical protein SMU_117c
chr	NC_004350.2	118705	119547	-	1029699	-	SMU_118c	NP_720593.1	280	-	esterase
chr	NC_004350.2	119558	120676	-	1029697	adh	SMU_119	NP_720594.1	372	-	alcohol dehydrogenase
chr	NC_004350.2	121103	121291	+	1029698	-	SMU_120	NP_720595.1	62	-	50S ribosomal protein L28
chr	NC_004350.2	121344	122672	-	1029700	dinF	SMU_121	NP_720596.1	442	-	damage-inducible protein DinF
chr	NC_004350.2	122905	127302	+	1029702	-	SMU_123	NP_720597.1	1465	-	DNA polymerase III PolC
chr	NC_004350.2	127505	127954	+	1029693	-	SMU_124	NP_720598.1	149	-	MarR family transcriptional regulator
chr	NC_004350.2	128033	128587	+	1029704	-	SMU_125	NP_720599.1	184	-	hypothetical protein SMU_125
chr	NC_004350.2	128963	129958	+	1029703	adhA	SMU_127	NP_720600.1	331	-	acetoin dehydrogenase TPP-dependent, E1 component subunit alpha
chr	NC_004350.2	130090	131103	+	1029701	adhB	SMU_128	NP_720601.1	337	-	acetoin dehydrogenase TPP-dependent, E1 component subunit beta
chr	NC_004350.2	131203	132570	+	1029708	adhC	SMU_129	NP_720602.1	455	-	branched-chain alpha-keto acid dehydrogenase E2 subunit
chr	NC_004350.2	132644	134389	+	1029705	adhD	SMU_130	NP_720603.1	581	-	dihydrolipoamide dehydrogenase
chr	NC_004350.2	134495	135484	+	1029709	lplA	SMU_131	NP_720604.1	329	-	lipoate-protein ligase
chr	NC_004350.2	135749	136885	+	1029707	-	SMU_132	NP_720605.1	378	-	hippurate amidohydrolase
chr	NC_004350.2	137008	138402	-	1029711	-	SMU_133c	NP_720606.1	464	-	MDR permease
chr	NC_004350.2	138553	139206	+	1029712	-	SMU_134	NP_720607.1	217	-	TetR/AcrR family transcriptional regulator
chr	NC_004350.2	139471	140364	-	1029713	mleR	SMU_135	NP_720608.1	297	-	transcriptional regulator
chr	NC_004350.2	140554	140907	-	1029710	-	SMU_136c	NP_720609.1	117	-	transcriptional regulator
chr	NC_004350.2	141022	142644	+	1029715	mleS	SMU_137	NP_720610.1	540	-	malate dehydrogenase
chr	NC_004350.2	142800	143744	+	1029706	-	SMU_138	NP_720611.1	314	-	malate permease
chr	NC_004350.2	143865	145049	+	1029716	-	SMU_139	NP_720612.1	394	-	hypothetical protein SMU_139
chr	NC_004350.2	145133	146428	+	1029720	-	SMU_140	NP_720613.1	431	-	glutathione reductase
chr	NC_004350.2	146430	147131	+	1029714	-	SMU_141	NP_720614.1	233	-	hypothetical protein SMU_141
chr	NC_004350.2	147295	147909	-	1029717	-	SMU_143c	NP_720615.1	204	-	peptide deformylase
chr	NC_004350.2	147984	148631	-	1029718	-	SMU_144c	NP_720616.1	215	-	transcriptional regulator
chr	NC_004350.2	148736	149920	+	1029719	-	SMU_145	NP_720617.1	394	-	hypothetical protein SMU_145
chr	NC_004350.2	150120	152789	+	1029722	adhE	SMU_148	NP_720618.1	889	-	bifunctional acetaldehyde-CoA/alcohol dehydrogenase
chr	NC_004350.2	152999	153301	+	1029721	-	SMU_149	NP_720619.1	100	-	transposase
chr	NC_004350.2	153813	154016	+	1029725	-	SMU_150	NP_720620.1	67	-	hypothetical protein SMU_150
chr	NC_004350.2	154025	154261	+	1029723	-	SMU_151	NP_720621.1	78	-	hypothetical protein SMU_151
chr	NC_004350.2	154456	154875	+	1029728	-	SMU_152	NP_720622.1	139	-	hypothetical protein SMU_152
chr	NC_004350.2	155368	155469	+	1029729	-	SMU_153	NP_720623.1	33	-	hypothetical protein SMU_153
chr	NC_004350.2	156212	156481	+	1029730	-	SMU_154	NP_720624.1	89	-	30S ribosomal protein S15
chr	NC_004350.2	157228	159420	+	1029726	pnpA	SMU_155	NP_720625.1	730	-	polynucleotide phosphorylase
chr	NC_004350.2	159410	160150	+	1029732	-	SMU_156	NP_720626.1	246	-	hypothetical protein SMU_156
chr	NC_004350.2	160110	160778	+	1029724	cysE	SMU_157	NP_720627.1	222	-	serine acetyltransferase
chr	NC_004350.2	160852	162195	+	1029733	cysS	SMU_158	NP_720628.1	447	-	cysteinyl-tRNA synthetase
chr	NC_004350.2	162188	162607	+	1029731	-	SMU_159	NP_720629.1	139	-	hypothetical protein SMU_159
chr	NC_004350.2	162786	163691	+	1029727	-	SMU_160	NP_720630.1	301	-	metallopeptidase
chr	NC_004350.2	163670	164407	+	1029734	-	SMU_161	NP_720631.1	245	-	transcriptional regulator
chr	NC_004350.2	164443	165435	-	1029735	-	SMU_162c	NP_720632.1	330	-	hypothetical protein SMU_162c
chr	NC_004350.2	165624	166178	-	1029737	-	SMU_163c	NP_720633.1	184	-	hypothetical protein SMU_163c
chr	NC_004350.2	166491	167237	+	1029739	-	SMU_164	NP_720634.1	248	-	tRNA/rRNA methyltransferase
chr	NC_004350.2	167261	168121	+	1029736	-	SMU_165	NP_720635.1	286	-	hypothetical protein SMU_165
chr	NC_004350.2	168253	168768	+	1029740	-	SMU_166	NP_720636.1	171	-	hypothetical protein SMU_166
chr	NC_004350.2	168768	169214	+	1029738	-	SMU_167	NP_720637.1	148	-	hypothetical protein SMU_167
chr	NC_004350.2	169211	169405	+	1029743	-	SMU_168	NP_720638.1	64	-	transcriptional regulator
chr	NC_004350.2	169798	170244	+	1029741	-	SMU_169	NP_720639.1	148	-	50S ribosomal protein L13
chr	NC_004350.2	170269	170661	+	1029746	-	SMU_170	NP_720640.1	130	-	30S ribosomal protein S9
chr	NC_004350.2	170983	171228	+	1029742	-	SMU_172	NP_720641.1	81	-	cell growth regulatory protein
chr	NC_004350.2	171222	171554	+	1029747	-	SMU_173	NP_720642.1	110	-	ppGpp-regulated growth inhibitor
chr	NC_004350.2	171752	172543	-	1029744	-	SMU_174c	NP_720643.1	263	-	hypothetical protein SMU_174c
chr	NC_004350.2	172710	172838	+	1029749	-	SMU_175	NP_720644.1	42	-	hypothetical protein SMU_175
chr	NC_004350.2	172926	173081	+	1029750	-	SMU_176	NP_720645.1	51	-	hypothetical protein SMU_176
chr	NC_004350.2	173245	174465	+	1029745	-	SMU_177	NP_720646.1	406	-	hypothetical protein SMU_177
chr	NC_004350.2	174443	175291	+	1029751	-	SMU_178	NP_720647.1	282	-	hypothetical protein SMU_178
chr	NC_004350.2	175433	176035	+	1029748	-	SMU_179	NP_720648.1	200	-	hypothetical protein SMU_179
chr	NC_004350.2	176037	178448	+	1029753	-	SMU_180	NP_720649.1	803	-	oxidoreductase
chr	NC_004350.2	178654	179652	+	1029752	-	SMU_181	NP_720650.1	332	-	mevalonate kinase
chr	NC_004350.2	179874	180596	+	1029754	sloA	SMU_182	NP_720651.1	240	-	iron ABC transporter ATP-binding protein
chr	NC_004350.2	180593	181432	+	1029756	sloB	SMU_183	NP_720652.1	279	-	Mn/Zn ABC transporter
chr	NC_004350.2	181479	182399	+	1029755	sloC	SMU_184	NP_720653.1	306	-	ABC transporter metal binding lipoprotein
chr	NC_004350.2	182383	182520	+	1029757	-	SMU_185	NP_720654.1	45	-	hypothetical protein SMU_185
chr	NC_004350.2	182584	183237	+	1029759	sloR	SMU_186	NP_720655.1	217	-	metal-dependent transcriptional regulator
chr	NC_004350.2	183417	184394	-	1029758	-	SMU_187c	NP_720656.1	325	-	hypothetical protein SMU_187c
chr	NC_004350.2	184381	185313	-	1029760	-	SMU_188c	NP_720657.1	310	-	heat shock protein 33
chr	NC_004350.2	185427	185633	+	1029761	-	SMU_189	NP_720658.1	68	-	hypothetical protein SMU_189
chr	NC_004350.2	192029	193192	-	1029764	-	SMU_191c	NP_720659.1	387	-	integrase
chr	NC_004350.2	193199	193384	-	1029762	-	SMU_193c	NP_720660.1	61	-	hypothetical protein SMU_193c
chr	NC_004350.2	193388	193639	-	1029765	-	SMU_194c	NP_720661.1	83	-	hypothetical protein SMU_194c
chr	NC_004350.2	193675	193935	-	1029763	-	SMU_195c	NP_720662.1	86	-	hypothetical protein SMU_195c
chr	NC_004350.2	193953	195050	-	1029768	-	SMU_196c	NP_720663.1	365	-	transfer protein
chr	NC_004350.2	195072	197498	-	1029769	-	SMU_197c	NP_720664.1	808	-	hypothetical protein SMU_197c
chr	NC_004350.2	197498	200041	-	1029767	-	SMU_198c	NP_720665.1	847	-	conjugative transposon protein
chr	NC_004350.2	200061	200441	-	1029766	-	SMU_199c	NP_720666.1	126	-	hypothetical protein SMU_199c
chr	NC_004350.2	200470	200697	-	1027808	-	SMU_200c	NP_720667.1	75	-	hypothetical protein SMU_200c
chr	NC_004350.2	200710	201690	-	1028600	-	SMU_201c	NP_720668.1	326	-	transposon protein
chr	NC_004350.2	201706	202179	-	1028601	-	SMU_202c	NP_720669.1	157	-	hypothetical protein SMU_202c
chr	NC_004350.2	202302	202430	-	1027809	-	SMU_204c	NP_720670.1	42	-	hypothetical protein SMU_204c
chr	NC_004350.2	202493	202765	-	1027810	-	SMU_205c	NP_720671.1	90	-	hypothetical protein SMU_205c
chr	NC_004350.2	202868	203269	-	1029397	-	SMU_206c	NP_720672.1	133	-	hypothetical protein SMU_206c
chr	NC_004350.2	203232	204464	-	1027811	-	SMU_207c	NP_720673.1	410	-	transposon protein
chr	NC_004350.2	204699	206423	-	1029375	-	SMU_208c	NP_720674.1	574	-	transposon protein
chr	NC_004350.2	206439	206864	-	1027813	-	SMU_209c	NP_720675.1	141	-	hypothetical protein SMU_209c
chr	NC_004350.2	206888	207199	-	1027814	-	SMU_210c	NP_720676.1	103	-	hypothetical protein SMU_210c
chr	NC_004350.2	207419	207862	-	1029405	-	SMU_211c	NP_720677.1	147	-	hypothetical protein SMU_211c
chr	NC_004350.2	207865	208113	-	1027816	-	SMU_212c	NP_720678.1	82	-	hypothetical protein SMU_212c
chr	NC_004350.2	208136	208327	-	1027815	-	SMU_213c	NP_720679.1	63	-	hypothetical protein SMU_213c
chr	NC_004350.2	208355	208663	-	1028096	-	SMU_214c	NP_720680.1	102	-	hypothetical protein SMU_214c
chr	NC_004350.2	208672	208872	-	1029436	-	SMU_215c	NP_720681.1	66	-	hypothetical protein SMU_215c
chr	NC_004350.2	208952	209266	-	1027817	-	SMU_216c	NP_720682.1	104	-	hypothetical protein SMU_216c
chr	NC_004350.2	209386	209913	-	1028395	-	SMU_217c	NP_720683.1	175	-	hypothetical protein SMU_217c
chr	NC_004350.2	210660	211013	+	1027818	-	SMU_218	NP_720684.1	117	-	transcriptional regulator
chr	NC_004350.2	211020	211451	+	1027819	-	SMU_219	NP_720685.1	143	-	hypothetical protein SMU_219
chr	NC_004350.2	211770	212222	-	1029393	-	SMU_220c	NP_720686.1	150	-	hypothetical protein SMU_220c
chr	NC_004350.2	212568	213113	-	1027828	-	SMU_221c	NP_720687.1	181	-	integrase
chr	NC_004350.2	213510	213704	-	1027821	-	SMU_222c	NP_720688.1	64	-	integrase fragment
chr	NC_004350.2	213755	213856	-	1028116	-	SMU_223c	NP_720689.1	33	-	hypothetical protein SMU_223c
chr	NC_004350.2	213906	214355	-	1027822	-	SMU_224c	NP_720690.1	149	-	hypothetical protein SMU_224c
chr	NC_004350.2	214336	214449	-	1027824	-	SMU_225c	NP_720691.1	37	-	hypothetical protein SMU_225c
chr	NC_004350.2	214544	215092	-	1028109	-	SMU_226c	NP_720692.1	182	-	transposase
chr	NC_004350.2	215841	216404	-	1029402	-	SMU_227c	NP_720693.1	187	-	hypothetical protein SMU_227c
chr	NC_004350.2	216789	217154	+	1027831	-	SMU_228	NP_720694.1	121	-	alkaline-shock protein-like protein
chr	NC_004350.2	217154	218821	+	1029500	-	SMU_229	NP_720695.1	555	-	hypothetical protein SMU_229
chr	NC_004350.2	218987	220690	+	1027830	ilvB	SMU_231	NP_720696.1	567	-	acetolactate synthase catalytic subunit
chr	NC_004350.2	220683	221165	+	1027834	ilvH	SMU_232	NP_720697.1	160	-	acetolactate synthase 3 regulatory subunit
chr	NC_004350.2	221232	222254	+	1029416	ilvC	SMU_233	NP_720698.1	340	-	ketol-acid reductoisomerase
chr	NC_004350.2	222495	223745	+	1027833	ilvA	SMU_234	NP_720699.1	416	-	threonine dehydratase
chr	NC_004350.2	223800	224687	+	1027837	-	SMU_235	NP_720700.1	295	-	hypothetical protein SMU_235
chr	NC_004350.2	224810	225451	-	1029388	-	SMU_236c	NP_720701.1	213	-	transcriptional regulator
chr	NC_004350.2	225477	226700	-	1027836	-	SMU_237c	NP_720702.1	407	-	hypothetical protein SMU_237c
chr	NC_004350.2	226697	227416	-	1027839	-	SMU_238c	NP_720703.1	239	-	ABC transporter ATP-binding protein
chr	NC_004350.2	227612	228202	-	1029460	-	SMU_239c	NP_720704.1	196	-	hypothetical protein SMU_239c
chr	NC_004350.2	228505	229245	-	1027838	-	SMU_241c	NP_720705.1	246	-	amino acid ABC transporter ATP-binding protein
chr	NC_004350.2	229245	230798	-	1027841	-	SMU_242c	NP_720706.1	517	-	amino acid ABC transporter permease
chr	NC_004350.2	231574	232851	+	1029470	-	SMU_243	NP_720707.1	425	-	hypothetical protein SMU_243
chr	NC_004350.2	232909	233754	+	1027840	bacA	SMU_244	NP_720708.1	281	-	undecaprenyl pyrophosphate phosphatase
chr	NC_004350.2	233844	234566	+	1027843	mecA	SMU_245	NP_720709.1	240	-	adaptor protein
chr	NC_004350.2	234572	235732	+	1027812	rgpG	SMU_246	NP_720710.1	386	-	glycosyl transferase N-acetylglucosaminyltransferase RgpG
chr	NC_004350.2	235806	236576	+	1029410	-	SMU_247	NP_720711.1	256	-	ABC transporter ATP-binding protein
chr	NC_004350.2	236614	237876	+	1027844	-	SMU_248	NP_720712.1	420	-	ABC transporter membrane protein
chr	NC_004350.2	237881	239110	+	1029454	nifS	SMU_249	NP_720713.1	409	-	NifS protein-like protein class-V aminotransferase
chr	NC_004350.2	239097	239531	+	1029463	nifU	SMU_250	NP_720714.1	144	-	nitrogen fixation-like protein, NifU
chr	NC_004350.2	239552	240967	+	1027845	-	SMU_251	NP_720715.1	471	-	ABC transporter membrane protein
chr	NC_004350.2	241259	242032	+	1029464	-	SMU_252	NP_720716.1	257	-	hypothetical protein SMU_252
chr	NC_004350.2	242290	243534	-	1027842	dacA	SMU_253	NP_720717.1	414	-	D-alanyl-D-alanine carboxypeptidase
chr	NC_004350.2	243822	245471	+	1027847	oppA	SMU_255	NP_720718.1	549	-	oligopeptide ABC transporter substrate-binding protein OppA
chr	NC_004350.2	245577	246491	+	1029462	oppB	SMU_256	NP_720719.1	304	-	oligopeptide transport system permease OppB
chr	NC_004350.2	246502	247533	+	1027846	oppC	SMU_257	NP_720720.1	343	-	transmembrane permease OppC
chr	NC_004350.2	247543	248595	+	1027849	oppD	SMU_258	NP_720721.1	350	-	oligopeptide ABC transporter ATP-binding protein OppD
chr	NC_004350.2	248588	249514	+	1029465	oppF	SMU_259	NP_720722.1	308	-	oligopeptide ABC transporter ATP-binding protein OppF
chr	NC_004350.2	250170	250772	+	1027848	-	SMU_260	NP_720723.1	200	-	hypothetical protein SMU_260
chr	NC_004350.2	250989	251945	-	1027851	-	SMU_261c	NP_720724.1	318	-	transcriptional regulator
chr	NC_004350.2	252184	253203	+	1027850	otcA	SMU_262	NP_720725.1	339	-	putrescine carbamoyltransferase
chr	NC_004350.2	253301	254659	+	1029469	-	SMU_263	NP_720726.1	452	-	amino acid antiporter
chr	NC_004350.2	254669	255778	+	1027853	-	SMU_264	NP_720727.1	369	-	agmatine deiminase
chr	NC_004350.2	255810	256760	+	1029467	arcC	SMU_265	NP_720728.1	316	-	amino acid kinase
